delivery_person_id,delivery_person_age
DEHRES16DEL03,20
GOARES11DEL02,30
DEHRES03DEL03,22
AGRRES18DEL03,22
GOARES09DEL01,22
KOCRES010DEL01,35
BHPRES01DEL02,33
ALHRES05DEL02,35
ALHRES16DEL03,28
ALHRES01DEL03,37
AGRRES12DEL01,21
BHPRES03DEL01,24
AGRRES20DEL02,37
AGRRES07DEL02,38
ALHRES03DEL03,27
ALHRES12DEL02,32
GOARES12DEL01,23
AURGRES06DEL02,34
GOARES17DEL03,30
LUDHRES13DEL02,37
AGRRES12DEL01,27
KNPRES15DEL03,22
KOLRES01DEL02,34
DEHRES07DEL03,28
DEHRES16DEL03,32
KOLRES13DEL01,22
GOARES07DEL03,35
AURGRES17DEL01,29
ALHRES03DEL02,20
AGRRES05DEL02,34
LUDHRES03DEL02,32
KOLRES15DEL01,24
KNPRES20DEL03,38
GOARES11DEL03,35
GOARES17DEL02,28
GOARES13DEL02,33
KOLRES17DEL03,37
KOLRES02DEL01,32
LUDHRES01DEL01,38
LUDHRES11DEL01,20
KOLRES08DEL03,28
DEHRES14DEL03,38
LUDHRES09DEL02,25
LUDHRES15DEL03,38
KOCRES11DEL02,35
DEHRES04DEL03,36
AGRRES04DEL02,33
AURGRES06DEL03,30
AURGRES06DEL01,33
AGRRES17DEL01,36
KNPRES07DEL01,22
AURGRES18DEL01,28
KOLRES09DEL01,30
KNPRES20DEL03,24
ALHRES13DEL01,23
GOARES010DEL01,27
KOCRES09DEL03,20
LUDHRES12DEL03,35
AURGRES07DEL01,24
BHPRES18DEL01,24
KOCRES03DEL03,39
ALHRES07DEL03,35
BHPRES18DEL03,25
GOARES03DEL01,38
LUDHRES16DEL02,20
GOARES06DEL01,21
ALHRES20DEL01,32
AURGRES09DEL01,34
LUDHRES06DEL02,38
GOARES11DEL02,22
DEHRES17DEL01,22
KOLRES12DEL02,20
BHPRES08DEL02,27
AGRRES14DEL02,30
AURGRES04DEL01,25
BHPRES01DEL01,20
KOCRES02DEL01,35
DEHRES05DEL02,30
AGRRES11DEL01,32
KNPRES16DEL03,32
AGRRES010DEL03,32
GOARES13DEL03,31
DEHRES17DEL03,24
AGRRES12DEL03,29
BHPRES13DEL03,23
LUDHRES14DEL01,21
GOARES14DEL03,20
KOLRES15DEL02,27
AURGRES12DEL02,29
KNPRES01DEL02,39
AGRRES010DEL01,36
GOARES010DEL01,36
KOLRES12DEL03,28
KOLRES17DEL01,23
KOLRES05DEL03,20
KNPRES17DEL01,37
ALHRES16DEL02,31
AURGRES010DEL01,38
KNPRES17DEL02,21
LUDHRES11DEL02,20
AGRRES01DEL02,36
DEHRES06DEL03,39
KNPRES11DEL02,24
KOCRES010DEL03,24
KNPRES05DEL03,32
BHPRES15DEL02,25
ALHRES15DEL03,26
KOLRES05DEL01,26
BHPRES11DEL02,27
DEHRES16DEL01,29
AURGRES03DEL02,24
KOLRES14DEL03,34
KNPRES16DEL02,34
KNPRES02DEL03,37
ALHRES08DEL02,24
KOLRES01DEL01,31
LUDHRES04DEL01,21
AGRRES03DEL02,32
KOLRES010DEL02,35
LUDHRES11DEL03,25
KNPRES19DEL01,20
KOLRES04DEL01,33
AURGRES14DEL02,36
KOLRES04DEL02,31
KNPRES05DEL01,38
AGRRES010DEL02,25
KNPRES03DEL01,39
BHPRES04DEL03,28
AURGRES01DEL03,36
DEHRES03DEL01,28
LUDHRES18DEL01,24
ALHRES19DEL02,28
ALHRES19DEL01,23
KNPRES17DEL03,23
BHPRES11DEL01,34
KOLRES02DEL02,31
GOARES17DEL02,33
GOARES14DEL02,29
BHPRES17DEL03,34
AURGRES18DEL01,29
LUDHRES15DEL02,31
KOLRES13DEL02,32
AURGRES15DEL01,26
DEHRES19DEL02,38
DEHRES09DEL02,37
KNPRES03DEL03,25
LUDHRES13DEL03,36
AGRRES20DEL03,27
KOCRES16DEL01,37
AGRRES11DEL02,24
AGRRES07DEL03,39
BHPRES06DEL01,37
ALHRES18DEL02,30
DEHRES09DEL01,21
DEHRES05DEL01,39
AURGRES08DEL03,27
ALHRES07DEL02,38
KOLRES04DEL03,27
ALHRES01DEL01,31
KNPRES18DEL03,30
LUDHRES15DEL01,35
KNPRES05DEL02,39
AURGRES19DEL02,33
KOCRES03DEL02,22
DEHRES010DEL03,35
AURGRES17DEL02,33
AGRRES14DEL01,37
AGRRES03DEL03,32
KOLRES11DEL01,22
KNPRES11DEL03,34
AGRRES010DEL01,34
GOARES08DEL03,33
AURGRES15DEL02,24
DEHRES05DEL01,22
DEHRES17DEL02,36
AGRRES17DEL02,36
GOARES02DEL02,33
AURGRES18DEL03,35
ALHRES14DEL02,20
LUDHRES09DEL03,28
KNPRES09DEL01,36
KNPRES14DEL02,29
KNPRES16DEL01,31
ALHRES14DEL01,31
KOLRES20DEL01,38
KOLRES010DEL03,38
GOARES17DEL01,39
LUDHRES03DEL01,27
GOARES010DEL03,32
DEHRES19DEL01,27
BHPRES11DEL03,33
BHPRES06DEL03,30
KOCRES15DEL01,26
KOLRES06DEL02,29
BHPRES17DEL01,34
KNPRES01DEL01,27
KNPRES04DEL02,21
ALHRES17DEL03,37
AGRRES14DEL03,39
GOARES14DEL01,28
BHPRES05DEL03,23
KNPRES010DEL01,24
AURGRES03DEL03,27
ALHRES19DEL03,32
DEHRES03DEL01,25
KOCRES03DEL02,36
KNPRES04DEL03,24
DEHRES06DEL01,38
KOLRES05DEL02,22
KOCRES15DEL02,36
LUDHRES06DEL01,22
KOCRES010DEL02,36
ALHRES13DEL02,28
GOARES13DEL01,32
AURGRES010DEL02,29
AGRRES03DEL01,30
BHPRES06DEL01,32
DEHRES04DEL02,37
KNPRES11DEL02,33
KNPRES20DEL01,36
AGRRES12DEL03,21
KOLRES18DEL03,36
BHPRES010DEL01,37
AURGRES17DEL01,20
LUDHRES19DEL01,32
BHPRES20DEL03,28
GOARES11DEL01,28
ALHRES14DEL01,30
ALHRES01DEL01,23
ALHRES14DEL03,35
ALHRES18DEL03,35
BHPRES20DEL03,20
ALHRES02DEL02,38
AURGRES14DEL01,26
AGRRES18DEL01,24
AGRRES08DEL01,32
ALHRES20DEL02,23
KOLRES01DEL03,38
KOLRES20DEL02,34
BHPRES11DEL03,34
KOCRES14DEL03,24
KOCRES11DEL01,26
KOLRES09DEL02,37
ALHRES20DEL01,27
KNPRES18DEL01,33
BHPRES010DEL02,22
KNPRES19DEL02,21
GOARES14DEL01,27
GOARES07DEL02,24
KOLRES03DEL02,31
LUDHRES12DEL02,23
KOLRES05DEL02,21
KOLRES01DEL03,30
KOLRES06DEL02,27
BHPRES01DEL01,34
LUDHRES19DEL02,20
AURGRES06DEL01,35
DEHRES04DEL03,33
LUDHRES010DEL03,25
DEHRES13DEL03,23
GOARES18DEL03,34
AURGRES18DEL03,36
KOCRES09DEL03,35
GOARES13DEL02,20
AURGRES12DEL02,39
AURGRES17DEL03,29
AURGRES13DEL03,38
AURGRES010DEL03,21
GOARES15DEL01,26
GOARES08DEL01,21
GOARES18DEL01,33
KOCRES02DEL03,23
KOLRES16DEL02,29
KOLRES15DEL01,23
ALHRES17DEL01,38
AGRRES08DEL02,38
AGRRES07DEL03,32
ALHRES17DEL02,26
LUDHRES08DEL02,34
LUDHRES20DEL02,34
KNPRES18DEL02,38
LUDHRES18DEL02,38
AGRRES05DEL03,31
KNPRES18DEL02,35
BHPRES16DEL01,38
AURGRES14DEL02,30
BHPRES01DEL02,28
AGRRES17DEL03,38
GOARES14DEL02,33
KOCRES11DEL03,23
AURGRES07DEL03,36
BHPRES05DEL02,36
LUDHRES03DEL03,31
LUDHRES05DEL02,34
KNPRES12DEL01,28
ALHRES16DEL02,33
KOLRES08DEL02,37
GOARES01DEL01,33
ALHRES03DEL03,24
LUDHRES08DEL03,28
KOLRES02DEL03,30
LUDHRES14DEL02,34
BHPRES13DEL01,30
KNPRES01DEL02,32
GOARES14DEL03,23
KNPRES15DEL02,20
GOARES04DEL02,27
GOARES07DEL01,38
BHPRES04DEL03,30
GOARES15DEL02,26
KNPRES04DEL03,37
LUDHRES04DEL02,27
KOLRES09DEL01,36
DEHRES16DEL02,39
KNPRES04DEL01,21
ALHRES12DEL01,38
GOARES09DEL02,28
AGRRES17DEL02,25
KNPRES17DEL01,25
AGRRES11DEL03,20
GOARES08DEL03,31
KOLRES11DEL01,28
LUDHRES04DEL02,24
AURGRES04DEL02,20
BHPRES03DEL02,25
ALHRES12DEL02,30
AGRRES08DEL01,22
ALHRES15DEL01,31
LUDHRES08DEL01,26
AGRRES08DEL03,21
LUDHRES11DEL01,27
AURGRES07DEL02,22
DEHRES07DEL02,25
AURGRES13DEL02,36
AGRRES18DEL03,26
KNPRES09DEL02,21
GOARES18DEL02,28
ALHRES20DEL02,31
KOLRES04DEL01,37
KNPRES07DEL02,34
DEHRES13DEL01,27
AGRRES11DEL03,30
DEHRES19DEL03,21
KNPRES16DEL01,25
KOLRES09DEL02,32
DEHRES08DEL01,29
LUDHRES010DEL02,32
DEHRES08DEL03,35
GOARES13DEL03,21
AURGRES08DEL02,22
AURGRES010DEL01,30
ALHRES13DEL03,37
KOCRES14DEL03,38
LUDHRES15DEL01,32
ALHRES05DEL01,29
KNPRES12DEL03,24
LUDHRES12DEL01,20
KOCRES14DEL02,38
BHPRES15DEL03,38
KNPRES12DEL01,20
GOARES15DEL03,35
KOCRES02DEL02,29
GOARES09DEL03,37
AURGRES17DEL03,30
BHPRES13DEL02,20
DEHRES04DEL01,27
DEHRES09DEL03,24
KOCRES010DEL02,27
LUDHRES04DEL03,32
AURGRES07DEL01,30
AGRRES13DEL02,25
KNPRES07DEL01,23
GOARES12DEL03,37
GOARES04DEL03,38
DEHRES07DEL02,34
ALHRES15DEL03,27
AGRRES07DEL02,31
KNPRES14DEL03,25
KNPRES15DEL03,39
KOLRES12DEL03,30
AGRRES14DEL03,36
KOLRES06DEL01,38
KOLRES18DEL02,34
AURGRES14DEL03,24
BHPRES15DEL01,21
AGRRES010DEL02,32
GOARES010DEL02,28
ALHRES03DEL01,22
AURGRES14DEL01,34
BHPRES01DEL03,32
BHPRES20DEL01,26
AURGRES05DEL02,34
ALHRES02DEL01,27
KOLRES010DEL01,35
AURGRES01DEL02,25
KNPRES02DEL02,33
LUDHRES20DEL01,26
KOCRES03DEL01,25
ALHRES03DEL02,24
ALHRES13DEL01,20
LUDHRES09DEL02,33
KOLRES17DEL03,25
KNPRES02DEL02,30
KNPRES16DEL01,29
KOLRES11DEL02,27
BHPRES010DEL01,32
BHPRES11DEL01,37
KNPRES07DEL01,29
ALHRES05DEL03,39
AGRRES01DEL03,28
DEHRES06DEL03,33
LUDHRES18DEL01,37
KOCRES14DEL02,21
AGRRES13DEL03,20
KOCRES11DEL01,22
KOLRES07DEL02,27
ALHRES20DEL03,28
KOLRES16DEL01,29
AURGRES19DEL02,37
GOARES01DEL02,30
DEHRES09DEL02,30
KOLRES16DEL02,24
AURGRES09DEL02,24
GOARES02DEL01,24
ALHRES18DEL01,38
ALHRES18DEL02,36
ALHRES07DEL03,32
GOARES12DEL02,27
GOARES09DEL01,39
LUDHRES06DEL03,31
AURGRES12DEL02,31
GOARES010DEL02,26
KOLRES05DEL03,30
AGRRES12DEL03,38
KOLRES11DEL02,32
BHPRES05DEL02,23
KOLRES05DEL01,25
LUDHRES11DEL03,30
GOARES08DEL02,26
AGRRES11DEL03,36
KOLRES010DEL01,27
KOLRES04DEL01,27
KNPRES04DEL03,39
KNPRES010DEL01,32
AURGRES01DEL02,33
AGRRES07DEL01,37
GOARES13DEL03,38
KNPRES13DEL02,23
DEHRES16DEL01,39
DEHRES19DEL01,33
AGRRES12DEL02,25
AURGRES07DEL01,38
KOCRES03DEL02,31
LUDHRES08DEL02,36
BHPRES16DEL02,22
KOCRES16DEL01,35
ALHRES07DEL01,38
AGRRES08DEL02,21
AURGRES06DEL02,26
KOCRES15DEL02,24
LUDHRES06DEL02,32
LUDHRES15DEL03,33
GOARES07DEL01,28
GOARES01DEL01,32
KOLRES13DEL02,39
AGRRES08DEL03,36
DEHRES16DEL02,22
ALHRES16DEL02,22
LUDHRES15DEL02,38
AGRRES010DEL02,35
KNPRES04DEL03,29
KOCRES03DEL02,23
KNPRES19DEL01,34
KNPRES14DEL03,29
KNPRES09DEL01,29
KOLRES17DEL01,21
KOLRES14DEL02,20
KNPRES14DEL03,27
AGRRES01DEL02,27
AGRRES20DEL01,31
DEHRES14DEL02,20
KOLRES03DEL01,34
KOLRES19DEL02,30
ALHRES20DEL01,25
KOLRES03DEL02,22
GOARES07DEL02,35
KOLRES04DEL02,35
ALHRES17DEL03,21
AGRRES03DEL02,23
BHPRES05DEL01,38
KOLRES01DEL02,24
GOARES13DEL01,27
BHPRES04DEL01,30
ALHRES02DEL02,22
AGRRES08DEL02,33
AURGRES14DEL01,24
GOARES09DEL01,30
AGRRES05DEL02,31
LUDHRES17DEL03,34
KNPRES17DEL02,26
AGRRES01DEL01,34
KOLRES19DEL01,31
KNPRES03DEL03,26
KOCRES02DEL01,20
KNPRES20DEL01,31
ALHRES03DEL03,22
KNPRES01DEL02,23
ALHRES15DEL02,24
KNPRES09DEL03,30
KNPRES20DEL03,37
GOARES15DEL02,31
LUDHRES08DEL03,34
AURGRES01DEL01,26
AURGRES08DEL02,38
AGRRES13DEL02,29
DEHRES13DEL01,37
BHPRES16DEL03,29
AURGRES17DEL01,35
LUDHRES17DEL01,25
KNPRES11DEL02,35
GOARES15DEL01,33
AGRRES05DEL02,20
AURGRES12DEL02,25
KNPRES17DEL01,34
KNPRES19DEL02,28
AGRRES18DEL01,36
KOLRES11DEL01,32
AGRRES17DEL03,37
AURGRES07DEL02,24
DEHRES13DEL03,21
AGRRES12DEL02,24
BHPRES13DEL03,38
AGRRES07DEL01,31
KOLRES07DEL01,33
ALHRES05DEL03,34
AGRRES17DEL01,20
DEHRES010DEL02,32
KNPRES14DEL01,39
BHPRES16DEL01,36
GOARES07DEL02,25
BHPRES06DEL02,21
KOCRES11DEL03,35
LUDHRES18DEL02,31
KNPRES18DEL01,36
LUDHRES06DEL01,24
LUDHRES04DEL01,38
ALHRES02DEL03,35
KNPRES13DEL01,22
DEHRES03DEL03,30
LUDHRES14DEL03,38
KOLRES18DEL01,31
KNPRES09DEL02,32
ALHRES19DEL01,28
AGRRES07DEL02,24
DEHRES16DEL03,31
AURGRES03DEL01,39
ALHRES01DEL02,34
BHPRES20DEL03,27
AURGRES05DEL01,33
LUDHRES04DEL02,21
AGRRES13DEL03,32
GOARES12DEL01,25
LUDHRES15DEL01,20
DEHRES010DEL01,21
ALHRES01DEL02,36
KOCRES14DEL03,22
KOCRES11DEL02,29
KOLRES01DEL02,35
LUDHRES20DEL02,37
GOARES04DEL02,34
LUDHRES06DEL01,36
ALHRES07DEL01,26
ALHRES15DEL03,25
BHPRES17DEL02,33
KOCRES15DEL02,23
LUDHRES13DEL02,34
DEHRES05DEL01,29
KOLRES14DEL03,26
LUDHRES08DEL01,23
ALHRES07DEL02,32
GOARES18DEL01,39
GOARES17DEL01,29
ALHRES14DEL02,30
GOARES16DEL02,33
KNPRES19DEL02,33
AGRRES05DEL01,26
DEHRES04DEL02,30
AGRRES010DEL03,38
ALHRES05DEL01,32
GOARES11DEL03,38
KOCRES03DEL01,21
BHPRES06DEL01,35
DEHRES08DEL01,27
ALHRES13DEL03,39
GOARES04DEL02,28
ALHRES08DEL02,22
AURGRES17DEL02,35
LUDHRES010DEL03,30
LUDHRES03DEL02,26
KOLRES15DEL02,34
LUDHRES01DEL02,24
AGRRES12DEL01,24
ALHRES20DEL02,28
AURGRES04DEL01,23
ALHRES05DEL02,20
BHPRES18DEL02,20
ALHRES07DEL03,37
LUDHRES05DEL01,34
DEHRES13DEL01,38
KOLRES010DEL01,22
ALHRES08DEL01,39
BHPRES08DEL01,22
KOLRES18DEL02,25
KOLRES20DEL03,34
ALHRES14DEL03,38
AURGRES18DEL01,26
BHPRES03DEL01,37
DEHRES09DEL02,34
BHPRES03DEL02,39
KNPRES12DEL03,26
DEHRES07DEL03,29
AGRRES010DEL01,20
BHPRES20DEL02,30
AURGRES01DEL01,27
GOARES02DEL02,24
GOARES010DEL01,22
GOARES09DEL03,22
KNPRES05DEL01,22
DEHRES03DEL01,21
AGRRES20DEL02,38
AGRRES03DEL03,38
LUDHRES16DEL03,35
DEHRES07DEL02,35
KOCRES010DEL01,22
AGRRES04DEL03,26
GOARES12DEL02,32
ALHRES17DEL02,22
ALHRES15DEL01,33
AURGRES04DEL02,29
AGRRES05DEL03,25
KNPRES09DEL03,21
KOLRES04DEL02,28
LUDHRES17DEL02,20
GOARES15DEL02,34
DEHRES07DEL01,31
AGRRES18DEL02,24
KNPRES12DEL01,33
AGRRES12DEL01,35
ALHRES19DEL02,31
ALHRES15DEL03,33
KOLRES09DEL03,23
KNPRES17DEL03,36
KOLRES12DEL01,24
LUDHRES20DEL02,33
KOLRES01DEL01,29
KNPRES12DEL01,35
DEHRES08DEL02,32
DEHRES09DEL03,28
AURGRES13DEL02,28
LUDHRES13DEL01,22
LUDHRES04DEL01,31
BHPRES05DEL01,25
BHPRES01DEL03,27
KOLRES02DEL01,24
GOARES18DEL02,27
ALHRES19DEL02,25
KOLRES17DEL01,39
KOCRES010DEL02,39
KOLRES06DEL02,28
LUDHRES16DEL01,38
LUDHRES05DEL03,37
GOARES01DEL02,38
GOARES07DEL01,33
GOARES11DEL02,38
GOARES03DEL02,36
KOCRES09DEL02,21
ALHRES14DEL01,20
AGRRES03DEL02,24
GOARES06DEL01,32
AURGRES05DEL01,25
AGRRES07DEL03,24
KOLRES07DEL03,37
KNPRES01DEL03,37
KNPRES12DEL02,32
KOLRES16DEL01,30
ALHRES18DEL01,33
GOARES06DEL02,38
DEHRES06DEL01,35
GOARES08DEL02,36
KOLRES06DEL01,30
KOLRES11DEL01,26
GOARES03DEL03,36
AGRRES13DEL01,21
KOLRES010DEL02,30
AURGRES01DEL03,32
DEHRES05DEL03,29
ALHRES18DEL02,31
DEHRES08DEL03,36
ALHRES14DEL01,34
DEHRES010DEL03,26
BHPRES20DEL02,20
LUDHRES01DEL01,30
KOLRES12DEL03,35
KNPRES15DEL02,23
KNPRES01DEL01,31
LUDHRES18DEL03,26
LUDHRES17DEL03,27
DEHRES17DEL01,24
KOLRES05DEL01,23
KOCRES02DEL03,26
AURGRES010DEL01,29
LUDHRES16DEL02,27
BHPRES15DEL01,32
AURGRES14DEL02,39
KOLRES12DEL01,33
ALHRES13DEL03,35
KOCRES16DEL03,37
AGRRES18DEL03,29
AGRRES17DEL02,35
AURGRES08DEL02,36
AGRRES14DEL03,35
AGRRES03DEL01,37
GOARES14DEL02,39
BHPRES010DEL02,27
AURGRES03DEL03,20
KOCRES15DEL03,24
LUDHRES04DEL03,23
GOARES16DEL01,29
LUDHRES03DEL01,31
AGRRES04DEL02,34
AURGRES04DEL01,29
BHPRES04DEL02,22
LUDHRES03DEL01,28
KNPRES010DEL03,23
KNPRES17DEL03,39
DEHRES14DEL03,22
ALHRES12DEL03,21
DEHRES17DEL03,34
KOLRES03DEL03,35
GOARES17DEL03,27
AURGRES19DEL03,27
AURGRES07DEL01,28
AURGRES14DEL02,21
AGRRES07DEL03,34
ALHRES08DEL02,27
BHPRES01DEL01,28
ALHRES01DEL01,21
DEHRES06DEL02,26
LUDHRES19DEL03,32
KOLRES02DEL02,20
DEHRES04DEL01,23
ALHRES07DEL02,28
BHPRES15DEL01,33
BHPRES08DEL02,26
KOLRES08DEL01,21
GOARES17DEL02,24
DEHRES16DEL02,32
KNPRES15DEL02,22
DEHRES08DEL03,20
LUDHRES12DEL01,36
KNPRES04DEL01,30
LUDHRES01DEL02,37
KOLRES06DEL03,26
GOARES07DEL03,30
KNPRES19DEL01,28
KOCRES09DEL01,33
KNPRES11DEL01,37
KNPRES20DEL01,23
LUDHRES09DEL01,31
KNPRES05DEL02,30
DEHRES03DEL02,25
ALHRES12DEL03,22
BHPRES17DEL01,32
KNPRES010DEL02,24
KOLRES01DEL01,38
DEHRES14DEL01,38
GOARES04DEL01,37
LUDHRES04DEL03,39
KNPRES18DEL01,39
KOLRES02DEL02,30
GOARES09DEL02,32
KOLRES15DEL02,22
LUDHRES06DEL03,27
AURGRES14DEL03,39
BHPRES15DEL02,24
AURGRES03DEL01,21
KNPRES05DEL03,30
BHPRES010DEL01,31
AGRRES010DEL03,29
AGRRES05DEL03,22
KOLRES16DEL03,38
KNPRES09DEL02,35
KOLRES14DEL01,31
KOLRES13DEL03,39
KNPRES14DEL02,37
AGRRES20DEL01,27
LUDHRES14DEL03,23
GOARES11DEL01,35
KOLRES02DEL03,24
KOLRES14DEL01,22
LUDHRES12DEL02,38
LUDHRES13DEL02,39
AURGRES13DEL02,37
ALHRES01DEL01,25
DEHRES07DEL01,20
AURGRES07DEL03,29
AGRRES11DEL01,36
KOCRES02DEL02,25
BHPRES18DEL01,35
KOLRES06DEL02,25
KOLRES15DEL03,36
KNPRES07DEL02,23
KOLRES19DEL03,39
KNPRES13DEL03,25
KNPRES12DEL02,37
