order_id,order_rating,order_date,time_ordered,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,time_taken_min
0xe140,4.9,2022-02-11,08:30,08:45,Cloudy,Low,1,Drinks,motorcycle,0.0,No,12
0xcb2e,4.8,2022-02-11,21:40,21:50,Cloudy,Jam,1,Meal,scooter,0.0,No,21
0xdaee,4.5,2022-02-11,14:45,14:55,Sunny,High,2,Drinks,scooter,1.0,No,14
0xd65a,4.7,2022-02-11,21:55,22:10,Fog,Jam,1,Buffet,motorcycle,1.0,No,20
0xd11f,4.9,2022-02-11,09:55,0.416666667,Cloudy,Low,2,Snack,scooter,0.0,No,14
0xc678,4.6,2022-02-11,11:50,11:55,Stormy,High,1,Meal,scooter,1.0,No,26
0xd6b2,4.1,2022-02-11,21:20,21:35,Windy,Jam,0,Buffet,motorcycle,1.0,No,33
0xc597,4.9,2022-02-11,13:55,14:05,Fog,High,1,Buffet,scooter,0.0,No,26
0xd56a,4.2,2022-02-11,0.375,09:10,Stormy,Low,0,Buffet,motorcycle,1.0,No,20
0xd63f,4.7,2022-02-11,11:40,11:50,Fog,High,1,Snack,motorcycle,0.0,No,21
0xe15c,4.9,2022-02-11,0.958333333,23:05,Sunny,Low,2,Snack,motorcycle,0.0,No,19
0xd1a9,4.4,2022-02-11,21:10,21:25,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,38
0xdb6c,4.8,2022-02-11,19:20,19:35,Fog,Jam,1,Meal,motorcycle,1.0,No,27
0xd345,5.0,2022-02-11,23:10,23:20,Stormy,Low,2,Meal,motorcycle,1.0,No,26
0xcded,4.3,2022-02-11,12:20,12:30,Stormy,High,2,Meal,scooter,1.0,No,34
0xd6fa,4.4,2022-02-11,12:20,12:30,Sunny,High,0,Meal,motorcycle,2.0,No,46
0xcf17,4.9,2022-02-11,11:40,11:55,Sandstorms,High,2,Snack,motorcycle,0.0,No,22
0xdc13,4.5,2022-02-11,09:15,09:30,Sandstorms,Low,2,Drinks,motorcycle,0.0,No,21
0xe06a,4.6,2022-02-11,09:55,10:05,Windy,Low,2,Drinks,scooter,1.0,No,25
0xcb45,4.6,2022-02-11,09:45,09:50,Stormy,Low,2,Drinks,scooter,0.0,No,16
0xdcde,4.7,2022-02-11,14:20,14:35,Cloudy,High,2,Snack,motorcycle,1.0,No,31
0xda92,4.8,2022-02-11,20:45,20:50,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,28
0xcd9a,4.6,2022-02-11,10:50,11:05,Windy,Low,2,Buffet,electric_scooter,1.0,No,15
0xcc4c,4.6,2022-02-11,08:25,08:35,Sunny,Low,0,Drinks,motorcycle,0.0,No,22
0xdec8,4.8,2022-02-11,20:45,20:50,Sunny,Jam,0,Meal,motorcycle,0.0,No,22
0xe098,4.6,2022-02-11,18:55,0.791666667,Windy,Medium,0,Meal,motorcycle,1.0,No,26
0xdfce,4.7,2022-02-11,11:50,12:05,Cloudy,High,2,Snack,scooter,1.0,No,20
0xd2a9,4.8,2022-02-11,19:50,20:05,Fog,Jam,1,Meal,scooter,1.0,No,30
0xcdd7,4.9,2022-02-11,20:35,20:45,Sandstorms,Jam,0,Snack,motorcycle,0.0,No,46
0xd81a,4.6,2022-02-11,23:35,23:45,Windy,Low,2,Snack,scooter,0.0,No,20
0xc56e,4.8,2022-02-11,19:10,19:20,Fog,Jam,1,Meal,motorcycle,1.0,No,28
0xd787,4.9,2022-02-11,19:15,19:25,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,33
0xc7cd,4.6,2022-02-11,12:55,0.541666667,Windy,High,0,Meal,motorcycle,0.0,No,17
0xd926,4.6,2022-02-11,14:35,14:50,Cloudy,High,2,Buffet,motorcycle,1.0,No,33
0xd382,4.9,2022-02-11,11:25,11:40,Sandstorms,High,1,Drinks,motorcycle,0.0,No,34
0xcb2b,4.0,2022-02-11,21:35,21:40,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,32
0xdd27,4.3,2022-02-11,10:30,10:40,Stormy,Low,0,Drinks,motorcycle,0.0,No,16
0xcfed,4.5,2022-02-11,0.75,18:10,Fog,Medium,1,Meal,motorcycle,0.0,No,16
0xd976,4.6,2022-02-11,19:55,20:10,Stormy,Jam,2,Snack,motorcycle,1.0,No,28
0xc8cf,5.0,2022-02-11,10:25,10:30,Sunny,Low,1,Drinks,motorcycle,0.0,No,23
0xdffc,4.6,2022-02-11,20:35,20:45,Sunny,Jam,2,Drinks,motorcycle,0.0,No,15
0xdede,4.8,2022-02-11,11:10,11:25,Fog,High,2,Drinks,motorcycle,1.0,No,38
0xd06f,4.2,2022-02-11,19:50,19:55,Cloudy,Jam,1,Snack,scooter,1.0,No,37
0xc325,4.8,2022-02-11,18:35,18:50,Cloudy,Medium,0,Meal,motorcycle,1.0,No,22
0xc156,4.7,2022-02-11,16:10,16:20,Sandstorms,Medium,2,Snack,scooter,1.0,No,29
0xcc24,5.0,2022-02-11,18:10,18:15,Stormy,Medium,1,Drinks,motorcycle,1.0,No,32
0xd8aa,4.6,2022-02-11,09:25,09:35,Cloudy,Low,1,Drinks,motorcycle,1.0,No,19
0xdd4d,5.0,2022-02-11,12:10,12:15,Cloudy,High,1,Buffet,scooter,1.0,No,25
0xdd9b,5.0,2022-02-11,21:40,21:45,Sunny,Jam,1,Drinks,motorcycle,1.0,No,19
0xcce1,4.6,2022-02-11,12:45,12:55,Windy,High,1,Buffet,scooter,1.0,No,12
0xe188,4.6,2022-02-11,23:50,1,Fog,Low,1,Meal,motorcycle,1.0,No,19
0xcbce,4.7,2022-02-11,13:30,13:35,Cloudy,High,1,Meal,motorcycle,1.0,No,25
0xc499,4.6,2022-02-11,17:55,0.75,Sandstorms,Medium,2,Snack,scooter,0.0,No,22
0xcc66,4.9,2022-02-11,22:15,22:30,Windy,Low,2,Buffet,motorcycle,1.0,No,26
0xc502,4.7,2022-02-11,11:55,0.5,Stormy,High,2,Drinks,electric_scooter,1.0,No,28
0xd16b,4.6,2022-02-11,11:45,0.5,Sandstorms,High,1,Snack,scooter,1.0,No,27
0xc4c0,4.8,2022-02-11,18:10,18:25,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,26
0xd861,4.7,2022-02-11,0.791666667,19:10,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,28
0xdd99,4.8,2022-02-11,18:40,18:55,Windy,Medium,1,Meal,scooter,0.0,No,21
0xddba,4.9,2022-02-11,19:40,19:55,Sandstorms,Jam,2,Meal,scooter,1.0,No,28
0xd9c6,4.7,2022-02-11,18:20,18:25,Windy,Medium,0,Snack,motorcycle,0.0,No,26
0xe10f,4.9,2022-02-11,0.791666667,19:10,Windy,Medium,0,Meal,motorcycle,0.0,No,18
0xc5d7,4.4,2022-02-11,19:30,19:40,Sunny,Jam,0,Meal,motorcycle,3.0,No,48
0xd286,4.7,2022-02-11,18:10,18:20,Windy,Medium,1,Buffet,motorcycle,1.0,No,26
0xca73,4.7,2022-02-11,15:10,15:15,Sunny,Medium,2,Meal,motorcycle,1.0,No,21
0xd426,4.8,2022-02-11,11:40,11:55,Windy,High,1,Meal,scooter,1.0,No,18
0xd70b,4.2,2022-02-11,23:55,1,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,22
0xccc5,4.5,2022-02-11,0.916666667,22:05,Sunny,Jam,0,Drinks,motorcycle,2.0,No,47
0xde79,4.7,2022-02-11,22:10,22:15,Stormy,Low,1,Snack,motorcycle,1.0,No,21
0xd0f8,5.0,2022-02-11,21:35,21:45,Windy,Jam,1,Snack,motorcycle,1.0,No,20
0xd9d8,5.0,2022-02-11,20:45,20:55,Sunny,Jam,0,Buffet,motorcycle,0.0,No,22
0xd62d,4.6,2022-02-11,10:40,10:50,Stormy,Low,2,Meal,scooter,1.0,No,25
0xc6cf,5.0,2022-02-11,11:40,11:45,Stormy,High,0,Buffet,motorcycle,2.0,No,37
0xc70e,4.4,2022-02-11,17:45,17:50,Stormy,Medium,2,Meal,scooter,0.0,No,31
0xcc52,4.5,2022-02-11,18:55,19:10,Stormy,Medium,2,Meal,electric_scooter,0.0,No,28
0xc61d,4.9,2022-02-11,09:35,09:50,Stormy,Low,1,Snack,scooter,0.0,No,17
0xbfc9,5.0,2022-02-11,12:15,12:20,Windy,High,0,Snack,motorcycle,1.0,No,34
0xd78a,4.1,2022-02-11,09:40,09:50,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,34
0xd755,4.8,2022-02-11,23:40,23:45,Cloudy,Low,2,Snack,scooter,1.0,No,19
0xd63d,4.8,2022-02-11,0.458333333,11:15,Sunny,Low,2,Meal,motorcycle,1.0,No,24
0xc808,4.6,2022-02-11,10:10,10:20,Windy,Low,1,Snack,motorcycle,0.0,No,23
0xe02f,4.2,2022-02-11,17:40,17:55,Sandstorms,Medium,2,Buffet,scooter,1.0,No,31
0xd45a,4.6,2022-02-11,14:30,14:40,Stormy,High,1,Snack,scooter,1.0,No,24
0xe27f,4.4,2022-02-11,23:55,24:10:00,Sandstorms,Low,0,Meal,motorcycle,1.0,No,24
0xdaf8,4.0,2022-02-11,10:25,10:35,Windy,Low,0,Buffet,motorcycle,1.0,No,28
0xd764,4.8,2022-02-11,12:20,12:30,Sunny,High,0,Snack,motorcycle,0.0,No,20
0xd5df,4.9,2022-02-11,15:10,15:25,Fog,Medium,2,Snack,motorcycle,1.0,No,18
0xcac2,5.0,2022-02-11,21:10,21:25,Stormy,Jam,2,Snack,electric_scooter,0.0,No,11
0xd2d6,4.8,2022-02-11,0.833333333,20:05,Stormy,Jam,1,Drinks,motorcycle,1.0,No,30
0xcf63,4.6,2022-02-11,18:35,18:50,Sunny,Medium,1,Buffet,motorcycle,1.0,No,21
0xd4d9,4.3,2022-02-11,10:15,10:25,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,28
0xd129,4.0,2022-02-11,17:10,17:25,Fog,Medium,0,Snack,motorcycle,1.0,No,33
0xc95f,5.0,2022-02-11,17:25,17:40,Sandstorms,Medium,1,Drinks,scooter,1.0,No,20
0xdff5,4.6,2022-02-11,20:45,20:50,Fog,Jam,1,Snack,motorcycle,1.0,No,36
0xd5b0,4.5,2022-02-11,20:30,20:45,Sandstorms,Jam,2,Drinks,scooter,1.0,No,25
0xe14a,4.0,2022-02-11,17:20,17:30,Stormy,Medium,2,Drinks,scooter,1.0,No,31
0xc960,5.0,2022-02-11,17:45,17:50,Sunny,Medium,2,Meal,electric_scooter,1.0,No,17
0xd469,4.7,2022-02-11,10:25,10:30,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,18
0xd2e5,4.7,2022-02-11,23:35,23:40,Stormy,Low,1,Meal,motorcycle,0.0,No,18
0xdfa1,4.5,2022-02-11,22:35,22:40,Stormy,Low,0,Snack,motorcycle,1.0,No,24
0xe18f,4.6,2022-02-11,20:20,20:30,Cloudy,Jam,1,Meal,scooter,0.0,No,27
0xc2ba,3.9,2022-02-11,20:40,20:45,Sunny,Jam,0,Buffet,motorcycle,1.0,No,54
0xdae1,4.8,2022-02-11,09:35,09:40,Cloudy,Low,0,Meal,motorcycle,1.0,No,24
0xd18b,4.1,2022-02-11,18:25,18:35,Windy,Medium,0,Drinks,motorcycle,1.0,No,39
0xd89c,4.3,2022-02-11,20:25,20:40,Sandstorms,Jam,0,Buffet,motorcycle,0.0,No,37
0xd02f,4.7,2022-02-11,17:45,0.75,Sunny,Medium,1,Buffet,scooter,0.0,No,19
0xd408,4.8,2022-02-11,09:45,09:55,Sandstorms,Low,2,Buffet,scooter,0.0,No,11
0xc716,5.0,2022-02-11,20:45,0.875,Fog,Jam,2,Snack,scooter,1.0,No,39
0xc92e,4.3,2022-02-11,19:10,19:25,Fog,Jam,1,Buffet,motorcycle,1.0,No,32
0xd60a,4.3,2022-02-11,09:55,10:10,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,20
0xd89e,4.6,2022-02-11,17:35,17:40,Windy,Medium,0,Buffet,motorcycle,1.0,No,30
0xddfe,4.7,2022-02-11,11:25,11:30,Fog,High,1,Buffet,scooter,1.0,No,30
0xc6e2,4.6,2022-02-11,0.5,12:10,Stormy,High,2,Buffet,scooter,1.0,No,28
0xc415,4.6,2022-02-11,10:40,10:55,Sunny,Low,0,Meal,motorcycle,0.0,No,14
0xdaa5,4.9,2022-02-11,08:15,08:30,Sunny,Low,1,Buffet,scooter,0.0,No,17
0xc9da,4.8,2022-02-11,18:10,18:20,Sandstorms,Medium,1,Meal,scooter,0.0,No,33
0xcfbc,4.6,2022-02-11,15:40,15:50,Sandstorms,Medium,2,Meal,electric_scooter,0.0,No,26
0xd580,4.7,2022-02-11,0.833333333,20:10,Cloudy,Jam,2,Buffet,scooter,1.0,No,27
0xcca6,4.7,2022-02-11,0.458333333,11:05,Cloudy,Low,1,Snack,scooter,1.0,No,17
0xd492,4.5,2022-02-11,09:30,09:40,Sandstorms,Low,2,Drinks,scooter,0.0,No,11
0xcdf0,4.2,2022-02-11,13:40,13:55,Sandstorms,High,0,Buffet,motorcycle,0.0,No,45
0xcfaa,4.7,2022-02-11,09:45,09:55,Fog,Low,0,Buffet,motorcycle,1.0,No,24
0xdbaa,4.9,2022-02-11,20:40,20:55,Sunny,Jam,0,Buffet,motorcycle,1.0,No,24
0xd707,5.0,2022-02-11,0.833333333,20:05,Sunny,Jam,2,Snack,scooter,0.0,No,17
0xd31a,4.1,2022-02-11,14:35,14:40,Windy,High,0,Meal,motorcycle,0.0,No,42
0xc847,4.8,2022-02-11,22:15,22:25,Fog,Low,0,Drinks,motorcycle,1.0,No,19
0xc351,4.7,2022-02-11,0.5,12:15,Sunny,High,2,Snack,scooter,0.0,No,19
0xde6c,4.5,2022-02-11,10:30,10:45,Stormy,Low,0,Buffet,motorcycle,0.0,No,22
0xce82,4.8,2022-02-11,17:40,17:50,Windy,Medium,0,Snack,motorcycle,0.0,No,16
0xd1fe,4.8,2022-02-11,18:20,18:35,Windy,Medium,0,Meal,motorcycle,1.0,No,21
0xd288,4.9,2022-02-11,21:55,0.916666667,Windy,Jam,2,Snack,electric_scooter,1.0,No,28
0xc157,4.1,2022-02-11,19:25,19:30,Stormy,Jam,1,Drinks,motorcycle,1.0,No,31
0xd4aa,4.8,2022-02-11,11:10,11:20,Fog,High,2,Buffet,motorcycle,1.0,No,29
0xc52a,4.9,2022-02-11,10:10,10:15,Stormy,Low,2,Buffet,scooter,0.0,No,10
0xdbb6,4.6,2022-02-11,09:50,09:55,Windy,Low,1,Meal,motorcycle,1.0,No,22
0xc4e3,5.0,2022-02-11,09:15,09:30,Fog,Low,1,Snack,scooter,0.0,No,16
0xcfd4,4.3,2022-02-11,19:25,19:35,Fog,Jam,1,Buffet,scooter,1.0,No,33
0xe1f0,4.3,2022-02-11,20:50,20:55,Stormy,Jam,2,Drinks,motorcycle,0.0,No,31
0xde93,4.8,2022-02-11,09:35,09:50,Windy,Low,1,Drinks,motorcycle,0.0,No,11
0xc7b5,4.7,2022-02-11,16:50,16:55,Windy,Medium,1,Drinks,motorcycle,1.0,No,25
0xd3ed,5.0,2022-02-11,18:35,18:45,Sunny,Medium,0,Buffet,motorcycle,1.0,No,22
0xdab2,4.3,2022-02-11,10:45,10:50,Stormy,Low,0,Snack,motorcycle,1.0,No,28
0xc401,4.6,2022-02-11,1,24:05:00,Sandstorms,Low,1,Snack,scooter,0.0,No,12
0xceea,4.9,2022-02-11,08:10,08:15,Sunny,Low,2,Drinks,scooter,1.0,No,12
0xde41,4.6,2022-02-11,08:40,08:50,Stormy,Low,1,Meal,motorcycle,1.0,No,25
0xd2f3,4.9,2022-02-11,0.916666667,22:15,Sandstorms,Jam,2,Snack,motorcycle,0.0,No,29
0xdf5a,4.6,2022-02-11,09:25,09:30,Stormy,Low,2,Meal,motorcycle,0.0,No,11
0xcd8e,4.9,2022-02-11,10:30,10:40,Sunny,Low,2,Drinks,scooter,0.0,No,19
0xd979,4.6,2022-02-11,16:15,16:20,Fog,Medium,2,Meal,scooter,0.0,No,12
0xe225,4.9,2022-02-11,16:30,16:45,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,21
0xdfbc,4.7,2022-02-11,22:10,22:20,Sunny,Low,1,Snack,motorcycle,0.0,No,15
0xd55e,4.9,2022-02-11,12:10,12:15,Sunny,High,2,Meal,motorcycle,1.0,No,21
0xdd13,4.7,2022-02-11,22:50,0.958333333,Stormy,Low,2,Drinks,electric_scooter,0.0,No,15
0xc761,4.8,2022-02-11,18:40,18:50,Sunny,Medium,1,Meal,motorcycle,0.0,No,15
0xda66,4.7,2022-02-11,18:40,18:50,Stormy,Medium,1,Snack,motorcycle,1.0,No,25
0xdeca,4.9,2022-02-11,21:20,21:30,Windy,Jam,0,Buffet,motorcycle,1.0,No,38
0xc252,4.8,2022-02-11,14:20,14:35,Sunny,High,2,Snack,scooter,0.0,No,19
0xcd76,4.0,2022-02-11,08:30,08:35,Stormy,Low,0,Snack,motorcycle,1.0,No,16
0xc83c,4.7,2022-02-11,18:35,18:45,Cloudy,Medium,2,Buffet,electric_scooter,1.0,No,19
0xcc36,4.8,2022-02-11,09:55,0.416666667,Fog,Low,0,Drinks,motorcycle,1.0,No,25
0xdc8e,4.7,2022-02-11,14:25,14:30,Cloudy,High,2,Drinks,scooter,0.0,No,37
0xc961,4.7,2022-02-11,17:50,17:55,Windy,Medium,1,Meal,motorcycle,0.0,No,30
0xcfcf,4.6,2022-02-11,18:15,18:20,Cloudy,Medium,1,Meal,motorcycle,1.0,No,18
0xc64e,4.7,2022-02-11,12:25,12:40,Cloudy,High,1,Drinks,motorcycle,1.0,No,28
0xc841,4.6,2022-02-11,15:55,16:05,Fog,Medium,1,Drinks,motorcycle,1.0,No,18
0xdbb1,4.9,2022-02-11,10:55,11:05,Cloudy,Low,2,Drinks,motorcycle,0.0,No,18
0xd229,4.7,2022-02-11,17:40,17:45,Sunny,Medium,0,Drinks,motorcycle,1.0,No,29
0xd1fb,4.8,2022-02-11,15:20,15:30,Windy,Medium,1,Meal,scooter,1.0,No,26
0xc67e,4.9,2022-02-11,17:20,17:35,Stormy,Medium,1,Meal,motorcycle,1.0,No,26
0xde0f,4.2,2022-02-11,08:50,0.375,Stormy,Low,0,Meal,motorcycle,1.0,No,24
0xd40f,4.5,2022-02-11,17:30,17:45,Sandstorms,Medium,2,Drinks,scooter,1.0,No,29
0xd161,4.9,2022-02-11,18:55,19:10,Sunny,Medium,1,Snack,scooter,1.0,No,19
0xcea9,4.9,2022-02-11,18:10,18:20,Sunny,Medium,1,Meal,scooter,0.0,No,19
0xdbde,4.9,2022-02-11,10:45,10:50,Sunny,Low,1,Snack,motorcycle,1.0,No,24
0xc52f,4.7,2022-02-11,10:15,10:30,Fog,Low,0,Drinks,motorcycle,1.0,No,23
0xdfb7,4.0,2022-02-11,20:40,20:55,Stormy,Jam,2,Drinks,motorcycle,1.0,No,31
0xdc40,4.8,2022-02-11,21:35,21:40,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,28
0xcee5,4.8,2022-02-11,23:35,23:50,Windy,Low,1,Meal,scooter,1.0,No,28
0xdbbf,4.7,2022-02-11,09:25,09:40,Windy,Low,1,Buffet,scooter,0.0,No,11
0xd9ff,4.7,2022-02-11,12:10,12:20,Windy,High,1,Meal,scooter,1.0,No,28
0xc770,4.6,2022-02-11,10:20,10:35,Stormy,Low,1,Buffet,motorcycle,1.0,No,11
0xd82f,4.9,2022-02-11,18:20,18:25,Cloudy,Medium,2,Snack,scooter,0.0,No,19
0xe0c8,4.5,2022-02-11,08:30,08:35,Windy,Low,2,Meal,electric_scooter,1.0,No,23
0xdd4f,4.9,2022-02-11,11:40,11:50,Sunny,High,2,Drinks,motorcycle,0.0,No,17
0xc271,4.5,2022-02-11,16:25,16:35,Windy,Medium,0,Drinks,motorcycle,1.0,No,23
0xc9bd,4.9,2022-02-11,22:45,22:50,Stormy,Low,1,Drinks,scooter,0.0,No,11
0xc9e0,4.1,2022-02-11,0.375,09:10,Sandstorms,Low,0,Meal,motorcycle,1.0,No,23
0xd777,4.7,2022-02-11,11:10,11:20,Cloudy,High,2,Drinks,electric_scooter,0.0,No,35
0xd338,4.2,2022-02-11,21:45,21:55,Cloudy,Jam,1,Drinks,scooter,0.0,No,31
0xcdc9,4.8,2022-02-11,22:40,22:50,Stormy,Low,2,Snack,scooter,1.0,No,26
0xd9b8,4.6,2022-02-11,09:30,09:45,Windy,Low,1,Snack,scooter,1.0,No,29
0xd450,4.9,2022-02-11,23:50,23:55,Fog,Low,0,Buffet,motorcycle,1.0,No,22
0xc623,4.6,2022-02-11,15:25,15:35,Fog,Medium,2,Drinks,scooter,1.0,No,14
0xd7f4,4.7,2022-02-11,20:35,20:50,Sandstorms,Jam,2,Drinks,scooter,0.0,No,21
0xcfa9,4.7,2022-02-11,08:40,08:45,Sunny,Low,2,Meal,scooter,0.0,No,17
0xce8b,4.7,2022-02-11,21:45,21:50,Stormy,Jam,2,Meal,scooter,1.0,No,29
0xd003,5.0,2022-02-11,10:10,10:25,Cloudy,Low,1,Snack,scooter,1.0,No,19
0xe211,4.8,2022-02-11,20:20,20:30,Windy,Jam,0,Meal,motorcycle,1.0,No,15
0xd5b6,4.9,2022-02-11,18:30,18:45,Stormy,Medium,2,Drinks,scooter,1.0,No,26
0xcbf6,4.1,2022-02-11,20:50,0.875,Windy,Jam,2,Drinks,electric_scooter,1.0,No,31
0xdce1,4.6,2022-02-11,0.541666667,13:10,Cloudy,High,0,Snack,motorcycle,1.0,No,27
0xcb0b,4.5,2022-02-11,10:40,10:45,Fog,Low,0,Snack,motorcycle,0.0,No,21
0xca86,4.9,2022-02-11,21:45,21:50,Windy,Jam,1,Drinks,scooter,0.0,No,32
0xc92c,4.3,2022-02-11,21:35,21:45,Windy,Jam,2,Drinks,motorcycle,2.0,No,34
0xd547,4.8,2022-02-11,22:10,22:20,Windy,Low,1,Meal,motorcycle,1.0,No,20
0xd32e,4.4,2022-02-11,08:55,0.375,Windy,Low,0,Meal,motorcycle,1.0,No,29
0xe00a,5.0,2022-02-11,0.375,09:10,Sunny,Low,1,Meal,scooter,1.0,No,19
0xcd8b,4.7,2022-02-11,19:10,19:25,Fog,Jam,1,Meal,motorcycle,1.0,No,23
0xd680,4.9,2022-02-11,08:55,0.375,Windy,Low,2,Meal,scooter,0.0,No,17
0xd15a,4.7,2022-02-11,17:20,17:25,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,29
0xd4dd,4.1,2022-02-11,18:45,0.791666667,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,32
0xdd3a,4.4,2022-02-11,20:25,20:30,Fog,Jam,0,Meal,motorcycle,1.0,No,33
0xd38a,4.8,2022-02-11,16:55,17:10,Sunny,Medium,1,Snack,motorcycle,0.0,No,19
0xd423,4.6,2022-02-11,19:10,19:15,Stormy,Jam,1,Meal,scooter,1.0,No,13
0xdca4,4.9,2022-02-11,19:55,0.833333333,Sunny,Jam,2,Snack,electric_scooter,1.0,No,20
0xe1cf,4.7,2022-02-11,11:15,11:30,Windy,High,1,Meal,motorcycle,1.0,No,27
0xcbe9,4.1,2022-02-11,09:45,0.416666667,Stormy,Low,0,Snack,motorcycle,1.0,No,20
0xd8d0,4.0,2022-02-11,14:45,0.625,Cloudy,High,1,Snack,scooter,2.0,No,34
0xc4b1,4.5,2022-02-11,22:10,22:25,Sandstorms,Low,0,Meal,motorcycle,1.0,No,15
0xc67c,4.7,2022-02-11,21:15,21:20,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,17
0xdbf7,4.6,2022-02-11,18:55,19:10,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,15
0xce5b,4.7,2022-02-11,14:10,14:25,Sandstorms,High,0,Drinks,motorcycle,1.0,No,35
0xdde4,4.7,2022-02-11,08:45,0.375,Stormy,Low,2,Buffet,motorcycle,0.0,No,16
0xd1cc,5.0,2022-02-11,0.875,21:05,Sunny,Jam,1,Snack,motorcycle,1.0,No,21
