restaurant_id,restaurant_latitude,restaurant_longitude,total_orders,city_label
181,17.428294,78.404423,141,11
182,18.56245,73.916619,148,18
183,18.563934,73.915367,141,18
184,17.424114,78.347554,143,11
185,17.438263,78.397865,154,11
186,17.450851,78.379347,141,11
187,26.88842,75.800689,161,10
188,18.593481,73.785901,145,18
189,13.029198,77.570997,155,16
190,19.065838,72.832658,141,19
191,22.722634,75.886959,138,21
192,22.745049,75.892471,147,21
193,12.935662,77.61413,139,16
194,26.892312,75.806896,158,10
195,26.766536,75.837333,157,10
196,19.221315,72.862381,155,19
197,19.103249,72.846749,132,19
198,13.045479,80.23311,135,15
199,18.546947,73.900626,137,18
200,17.440827,78.393391,141,11
201,17.410371,78.437225,145,11
202,13.049645,80.242268,149,15
203,21.157735,72.768778,143,14
204,19.120083,72.907385,147,19
205,22.753839,75.897429,135,21
206,12.321214,76.621094,136,17
207,13.081878,80.248519,142,15
208,22.761226,75.887522,145,21
209,21.149834,72.778666,143,14
210,12.323194,76.630583,146,17
211,22.760072,75.892574,147,21
212,19.22384,72.841347,145,19
213,11.008638,76.984311,146,12
214,26.956431,75.776649,159,10
215,18.592718,73.773572,147,18
216,17.411028,78.329645,149,11
217,17.430448,78.418213,159,11
218,23.355164,85.324097,141,20
219,18.554382,73.798206,142,18
220,12.986047,80.218114,143,15
221,19.131141,72.813074,153,19
222,12.913041,77.683237,139,16
223,12.337928,76.617889,145,17
224,23.359033,85.325347,143,20
225,23.353783,85.326967,141,20
226,18.539299,73.897902,143,18
227,22.695207,75.866059,141,21
228,12.978453,77.643685,149,16
229,11.001753,76.986241,148,12
230,12.934365,77.616155,135,16
231,22.307898,73.167788,144,13
232,12.972793,80.249982,147,15
233,17.431668,78.408321,150,11
234,12.323225,76.630028,151,17
235,18.51421,73.838429,131,18
236,12.975377,77.696664,143,16
237,12.934179,77.615797,149,16
238,17.455894,78.375467,144,11
239,17.41233,78.449654,146,11
240,11.026117,76.944652,144,12
241,21.186438,72.794115,153,14
242,12.979096,77.640625,137,16
243,10.994136,76.963303,149,12
244,23.369746,85.33982,146,20
245,19.176269,72.836721,148,19
246,17.45971,78.368855,146,11
247,12.949934,77.699386,150,16
248,22.744648,75.894377,154,21
249,22.745536,75.893106,138,21
250,22.728163,75.884212,148,21
251,18.994237,72.825553,133,19
252,23.374989,85.335486,140,20
253,18.546258,73.904337,148,18
254,19.1813,72.836191,142,19
255,11.025083,77.015393,154,12
256,26.913726,75.75282,155,10
257,18.516216,73.842527,138,18
258,12.337978,76.616792,149,17
259,12.3085,76.665808,155,17
260,26.913987,75.752891,145,10
261,11.006686,76.951736,145,12
262,12.299524,76.64262,137,17
263,12.975996,80.221898,145,15
264,12.316967,76.603067,138,17
265,23.374878,85.335739,136,20
266,18.530963,73.828972,146,18
267,22.310526,73.170937,141,13
268,19.121999,72.908493,146,19
269,11.003681,76.975525,138,12
270,22.75004,75.902847,139,21
271,23.416792,85.316842,141,20
272,18.636215,73.751081,137,18
273,13.091809,80.219104,136,15
274,12.311072,76.654878,130,17
275,18.927584,72.832585,147,19
276,11.021278,76.995017,140,12
277,26.914142,75.805704,167,10
278,12.933298,77.614293,152,16
279,23.351058,85.325731,137,20
280,12.325461,76.632278,142,17
281,21.149669,72.772629,146,14
282,12.323978,76.627961,155,17
283,22.753659,75.903365,140,21
284,18.543626,73.905101,134,18
285,12.979166,77.640709,149,16
286,12.981615,80.231598,139,15
287,21.160437,72.774209,144,14
288,23.351489,85.324253,153,20
289,26.911378,75.789034,168,10
290,12.939496,77.625999,138,16
291,21.173343,72.792731,137,14
292,26.913483,75.803139,156,10
293,19.055831,72.833984,141,19
294,22.751234,75.88949,131,21
295,23.357804,85.325146,147,20
296,21.157729,72.768726,140,14
297,21.185047,72.80859,144,14
298,19.003517,72.82765,143,19
299,26.849596,75.800512,155,10
300,22.310329,73.169083,149,13
301,12.334022,76.618203,140,17
302,13.022394,80.242439,136,15
303,12.933284,77.615428,155,16
304,23.371292,85.327872,156,20
305,13.044694,80.26147,135,15
306,19.254567,72.848923,144,19
307,21.183434,72.814492,152,14
308,22.311603,73.165012,142,13
309,19.207222,72.972281,145,19
310,22.761593,75.886362,137,21
311,22.751857,75.866699,149,21
312,26.902908,75.792934,162,10
313,21.15276,72.778059,144,14
314,22.725748,75.898497,151,21
315,23.354422,85.3329,140,20
316,13.066762,80.251865,146,15
317,21.170096,72.789122,153,14
318,12.972161,77.596014,133,16
319,11.003669,76.976494,141,12
320,23.359407,85.325055,154,20
321,26.90294,75.793007,159,10
322,22.651847,75.881991,143,21
323,12.970324,77.645748,152,16
324,18.520016,73.830547,130,18
325,23.359194,85.325447,139,20
326,13.02978,80.208812,141,15
327,11.003008,76.97544,155,12
328,17.483216,78.552111,138,11
329,12.914264,77.6784,139,16
330,17.433809,78.386744,137,11
331,11.022477,76.995667,157,12
332,10.96185,76.971082,138,12
333,12.98041,77.640489,140,16
334,18.994049,72.825203,148,19
335,22.310237,73.158921,132,13
336,18.536562,73.896485,147,18
337,19.091458,72.827808,151,19
338,17.429585,78.392621,154,11
339,21.160522,72.771477,152,14
340,11.022169,76.999594,140,12
341,11.000762,76.981876,151,12
342,17.458998,78.500366,143,11
343,13.026286,80.275235,147,15
344,12.972532,77.608179,144,16
345,13.005801,80.250744,146,15
346,12.304569,76.643622,139,17
347,21.175104,72.804342,146,14
348,26.902328,75.794257,165,10
349,19.12663,72.829976,142,19
350,21.186884,72.793616,141,14
351,26.910262,75.783013,155,10
352,13.064181,80.236442,149,15
353,22.732225,75.874765,148,21
354,13.027018,80.254791,140,15
355,13.086438,80.220672,128,15
356,12.352058,76.60665,137,17
357,26.891191,75.802083,157,10
358,21.186608,72.794136,149,14
359,12.284747,76.625861,147,17
360,12.970221,77.645396,145,16
361,23.333017,85.3172,152,20
362,26.921411,75.793604,154,10
363,11.024839,77.007003,145,12
364,22.311358,73.164798,133,13
365,12.297954,76.665169,141,17
366,11.001852,76.976268,138,12
367,21.149569,72.772697,142,14
368,13.058616,80.264151,156,15
369,12.326356,76.619103,135,17
370,26.911927,75.797282,149,10
371,12.310972,76.659264,148,17
372,13.026279,80.174568,136,15
373,18.55144,73.804855,140,18
374,17.426228,78.407495,129,11
375,19.1093,72.825451,132,19
376,11.022298,76.998349,144,12
